,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,f
584,"frozenset({'sku#_2331617', 'sku#_4290749'})",frozenset({'sku#_2371617'}),0.0002918855808523059,0.01055652850749173,0.0001945903872348706,0.6666666666666666,63.15207373271889,0.00019150908877967746,2.968330414477524,0.00819252432155658
565,"frozenset({'sku#_33993', 'sku#_2634285'})",frozenset({'sku#_4943975'}),0.0001945903872348706,0.010070052539404553,0.00014594279042615295,0.75,74.47826086956522,0.00014398325500303473,3.959719789842382,0.008152173913043478
1338,"frozenset({'sku#_3401136', 'sku#_3110746', 'sku#_6221150'})",frozenset({'sku#_3832818'}),0.00015102318205844598,0.018651362984218076,0.00015102318205844598,1.0,53.61538461538462,0.00014820639387084226,inf,0.008097165991902836
1285,"frozenset({'sku#_2533947', 'sku#_3160746', 'sku#_1922517'})",frozenset({'sku#_3832818'}),0.00015102318205844598,0.018651362984218076,0.00015102318205844598,1.0,53.61538461538462,0.00014820639387084226,inf,0.008097165991902836
721,"frozenset({'sku#_1922517', 'sku#_2533947'})",frozenset({'sku#_3832818'}),0.00015102318205844598,0.018651362984218076,0.00015102318205844598,1.0,53.61538461538462,0.00014820639387084226,inf,0.008097165991902836
638,"frozenset({'sku#_2392941', 'sku#_1663678'})",frozenset({'sku#_3832818'}),0.00015102318205844598,0.018651362984218076,0.00015102318205844598,1.0,53.61538461538462,0.00014820639387084226,inf,0.008097165991902836
49,"frozenset({'sku#_5901243', 'sku#_992340'})",frozenset({'sku#_5753596'}),0.0005109426892616878,0.0188197223878055,0.0003406284595077919,0.6666666666666667,35.423831070889904,0.00033101265993980814,2.943540832836584,0.008044243338360988
25,"frozenset({'sku#_223989', 'sku#_2933537'})",frozenset({'sku#_3911097'}),0.0004055561188279428,0.021393085268173982,0.00030416708912095713,0.75,35.058056872037916,0.00029549099248984127,3.914427658927304,0.007997630331753556
142,"frozenset({'sku#_4984891', 'sku#_6023403'})",frozenset({'sku#_668224'}),0.00011019890903080059,0.013885062537880875,0.00011019890903080059,1.0,72.01984126984127,0.00010866879028730167,inf,0.007936507936507936
18,"frozenset({'sku#_2379759', 'sku#_2809809'})",frozenset({'sku#_1728007'}),0.00033461602810774636,0.04316546762589928,0.00033461602810774636,1.0,23.166666666666664,0.00032017217077935444,inf,0.007751937984496123
119,"frozenset({'sku#_1288019', 'sku#_5746162'})",frozenset({'sku#_568224'}),0.00022039781806160118,0.012011681084357266,0.0001652983635462009,0.7500000000000001,62.43922018348624,0.00016265101524395674,3.951953275662573,0.007740825688073397
85,"frozenset({'sku#_1464816', 'sku#_946327'})",frozenset({'sku#_3764815'}),0.0005069451485349286,0.03355976883301227,0.0004055561188279428,0.7999999999999999,23.838066465256798,0.0003885431568320936,4.832201155834937,0.007734138972809667
576,"frozenset({'sku#_4983952', 'sku#_2271088'})",frozenset({'sku#_5804188'}),0.0001945903872348706,0.010653823701109165,0.00014594279042615295,0.75,70.3972602739726,0.00014386965874662208,3.9573847051955635,0.007705479452054794
134,"frozenset({'sku#_1146327', 'sku#_3794815'})",frozenset({'sku#_3824815'}),0.0007097232079489,0.033661157862719254,0.0005069451485349286,0.7142857142857143,21.21987951807229,0.0004830550435933251,3.3821859474804827,0.007683796410130318
218,"frozenset({'sku#_6069404', 'sku#_4316998'})",frozenset({'sku#_2348646'}),0.0001072271070126528,0.014314818786189148,0.0001072271070126528,1.0,69.85767790262172,0.00010569217040679937,inf,0.00749063670411985
133,"frozenset({'sku#_3824815', 'sku#_1146327'})",frozenset({'sku#_3794815'}),0.0007097232079489,0.0347764371894961,0.0005069451485349286,0.7142857142857143,20.53935860058309,0.000482263503971766,3.3782824698367637,0.0074373772832748266
264,"frozenset({'sku#_1117573', 'sku#_6517635', 'sku#_5314891'})",frozenset({'sku#_5186036'}),0.00011019890903080059,0.01493195217367348,0.00011019890903080059,1.0,66.97047970479704,0.00010855342419156168,inf,0.007380073800738006
116,"frozenset({'sku#_3774815', 'sku#_3814815'})",frozenset({'sku#_1056327'}),0.0008111122376558856,0.02808476122883504,0.0005069451485349286,0.625,22.254061371841154,0.00048416525501057694,2.59177397005644,0.007050992779783393
132,"frozenset({'sku#_3824815', 'sku#_3794815'})",frozenset({'sku#_1146327'}),0.0008111122376558856,0.028186150258542025,0.0005069451485349286,0.625,22.174010791366907,0.0004840830171278175,2.591503599310555,0.007025629496402879
112,"frozenset({'sku#_4984891', 'sku#_468224'})",frozenset({'sku#_1416008'}),0.00022039781806160118,0.03140668907377817,0.00022039781806160118,1.0,31.84035087719298,0.00021347585231720133,inf,0.007017543859649121
